"Participant","Condition","RT","Error","Frequency"
1,"Accuracy",0.573,1,"High"
1,"Accuracy",0.379,0,"Very Low"
1,"Accuracy",0.5,0,"Very Low"
1,"Accuracy",0.49,0,"Low"
1,"Accuracy",0.872,0,"Low"
1,"Accuracy",0.661,0,"Very Low"
1,"Accuracy",0.558,0,"Very Low"
1,"Accuracy",0.705,0,"Very Low"
1,"Accuracy",0.519,0,"Low"
1,"Accuracy",0.573,0,"Low"
1,"Accuracy",0.543,0,"Low"
1,"Accuracy",1.273,1,"Very Low"
1,"Accuracy",0.605,0,"Very Low"
1,"Accuracy",0.739,0,"Very Low"
1,"Accuracy",0.559,0,"High"
1,"Accuracy",0.544,0,"Very Low"
1,"Accuracy",0.827,1,"Low"
1,"Accuracy",0.659,0,"High"
1,"Accuracy",0.539,0,"High"
1,"Accuracy",0.705,0,"Very Low"
1,"Accuracy",0.685,0,"Low"
1,"Accuracy",0.451,0,"Low"
1,"Accuracy",0.48,0,"High"
1,"Accuracy",0.499,0,"Low"
1,"Accuracy",0.808,0,"Very Low"
1,"Accuracy",0.641,0,"Very Low"
1,"Accuracy",0.564,0,"High"
1,"Accuracy",0.789,0,"Low"
1,"Accuracy",0.729,0,"Low"
1,"Accuracy",0.666,0,"Low"
1,"Accuracy",0.49,0,"Low"
1,"Accuracy",0.785,0,"High"
1,"Accuracy",0.514,0,"High"
1,"Accuracy",0.49,0,"High"
1,"Accuracy",0.588,0,"Very Low"
1,"Accuracy",0.529,0,"Low"
1,"Accuracy",0.499,0,"Very Low"
1,"Accuracy",0.49,0,"Very Low"
1,"Accuracy",0.583,0,"High"
1,"Accuracy",0.808,0,"Low"
1,"Accuracy",0.691,0,"Very Low"
1,"Accuracy",0.632,0,"High"
1,"Accuracy",0.921,1,"High"
1,"Accuracy",0.605,1,"Low"
1,"Accuracy",0.884,0,"High"
1,"Accuracy",0.582,0,"High"
1,"Accuracy",0.48,0,"Low"
1,"Accuracy",0.451,1,"High"
1,"Accuracy",0.722,0,"Very Low"
1,"Accuracy",1.282,1,"Very Low"
1,"Accuracy",1.002,0,"Very Low"
1,"Accuracy",0.543,0,"High"
1,"Accuracy",0.5,0,"High"
1,"Accuracy",0.67,0,"High"
1,"Accuracy",0.595,0,"High"
1,"Accuracy",0.509,0,"High"
1,"Accuracy",0.686,0,"Low"
1,"Accuracy",0.46,0,"Very Low"
1,"Speed",0.949,0,"Very Low"
1,"Speed",0.581,0,"Low"
1,"Speed",0.852,0,"Very Low"
1,"Speed",0.702,0,"High"
1,"Speed",0.671,0,"Low"
1,"Speed",0.45,0,"High"
1,"Speed",0.48,0,"High"
1,"Speed",0.431,0,"High"
1,"Speed",0.431,0,"High"
1,"Speed",0.461,0,"High"
1,"Speed",0.495,0,"Low"
1,"Speed",0.5,0,"Very Low"
1,"Speed",0.665,0,"High"
1,"Speed",0.539,0,"Very Low"
1,"Speed",0.534,0,"High"
1,"Speed",0.553,0,"Very Low"
1,"Speed",0.725,0,"High"
1,"Speed",0.646,0,"Very Low"
1,"Speed",0.455,0,"High"
1,"Speed",0.94,0,"Very Low"
1,"Speed",0.444,0,"Low"
1,"Speed",0.515,0,"Low"
1,"Speed",0.406,0,"Low"
1,"Speed",0.441,0,"Low"
1,"Speed",0.46,0,"High"
1,"Speed",0.563,0,"Very Low"
1,"Speed",0.559,0,"High"
1,"Speed",0.387,0,"Low"
1,"Speed",0.539,0,"Very Low"
1,"Speed",0.411,0,"High"
1,"Speed",0.603,0,"High"
1,"Speed",0.553,0,"Very Low"
1,"Speed",0.573,0,"High"
1,"Speed",0.759,0,"Low"
1,"Speed",0.732,0,"Very Low"
1,"Speed",0.734,0,"Very Low"
1,"Speed",0.822,0,"Low"
1,"Speed",0.741,0,"High"
1,"Speed",0.539,0,"Low"
1,"Speed",0.47,0,"Very Low"
1,"Speed",0.421,0,"Very Low"
1,"Speed",0.612,1,"Very Low"
1,"Speed",0.524,0,"High"
1,"Speed",0.603,0,"High"
1,"Speed",0.528,0,"Very Low"
1,"Speed",0.461,1,"Low"
1,"Speed",0.734,0,"Very Low"
1,"Speed",0.676,0,"Very Low"
1,"Speed",0.533,0,"Very Low"
1,"Speed",0.592,0,"Low"
1,"Speed",0.411,0,"Very Low"
1,"Speed",0.441,0,"Low"
1,"Speed",0.441,0,"High"
1,"Speed",0.45,0,"High"
1,"Speed",0.441,0,"Low"
1,"Speed",0.46,0,"Low"
1,"Speed",0.798,1,"Very Low"
1,"Speed",0.439,0,"Low"
1,"Speed",0.44,0,"Low"
1,"Speed",0.72,0,"Very Low"
1,"Speed",0.607,0,"Very Low"
1,"Speed",0.431,0,"Low"
1,"Speed",0.48,0,"Very Low"
1,"Speed",0.431,0,"High"
1,"Speed",0.544,0,"Low"
1,"Speed",0.372,0,"Very Low"
1,"Speed",0.69,0,"Very Low"
1,"Speed",0.524,0,"High"
1,"Speed",0.49,0,"High"
1,"Speed",0.803,1,"Very Low"
1,"Speed",0.541,0,"Low"
1,"Speed",0.553,0,"Very Low"
1,"Speed",0.632,0,"Low"
1,"Speed",0.485,0,"Very Low"
1,"Speed",0.769,0,"Very Low"
1,"Speed",0.678,0,"Very Low"
1,"Speed",0.515,0,"Low"
1,"Speed",0.613,0,"High"
1,"Speed",0.554,0,"Low"
1,"Speed",0.641,0,"Low"
1,"Speed",0.451,0,"Low"
1,"Speed",0.416,0,"High"
1,"Speed",0.451,0,"Low"
1,"Speed",0.525,0,"Low"
1,"Speed",0.436,0,"Low"
1,"Speed",0.475,0,"Very Low"
1,"Speed",0.397,0,"Low"
1,"Speed",0.534,0,"High"
1,"Speed",0.656,0,"High"
1,"Speed",0.426,0,"Low"
1,"Speed",0.431,0,"High"
1,"Speed",0.504,0,"Low"
1,"Speed",0.446,0,"High"
1,"Speed",0.582,1,"High"
1,"Speed",1.929,0,"High"
1,"Speed",0.952,0,"High"
1,"Accuracy",0.758,0,"Very Low"
1,"Accuracy",0.475,0,"Low"
1,"Accuracy",0.524,0,"High"
1,"Accuracy",0.539,0,"Low"
1,"Accuracy",0.744,0,"Very Low"
1,"Accuracy",0.837,0,"Low"
1,"Accuracy",0.578,0,"Low"
1,"Accuracy",0.724,0,"Low"
1,"Accuracy",0.651,0,"Low"
1,"Accuracy",0.75,0,"Very Low"
1,"Accuracy",0.568,0,"Low"
1,"Accuracy",1.18,0,"Low"
1,"Accuracy",0.642,0,"Very Low"
1,"Accuracy",0.592,0,"Very Low"
1,"Accuracy",0.666,0,"High"
1,"Accuracy",0.485,0,"High"
1,"Accuracy",0.528,0,"Low"
1,"Accuracy",0.661,0,"Low"
1,"Accuracy",0.466,0,"High"
1,"Accuracy",0.621,0,"Low"
1,"Accuracy",0.52,0,"Low"
1,"Accuracy",0.583,0,"Very Low"
1,"Accuracy",0.539,0,"Low"
1,"Accuracy",0.954,1,"Very Low"
1,"Accuracy",0.63,1,"Very Low"
1,"Accuracy",0.595,0,"Very Low"
1,"Accuracy",0.577,0,"Very Low"
1,"Accuracy",0.945,0,"Very Low"
1,"Accuracy",0.568,0,"Low"
1,"Accuracy",0.475,0,"High"
1,"Accuracy",0.646,0,"Very Low"
1,"Accuracy",0.529,0,"High"
1,"Accuracy",0.784,0,"Low"
1,"Accuracy",0.603,0,"High"
1,"Accuracy",0.675,0,"Very Low"
1,"Accuracy",0.49,0,"Very Low"
1,"Accuracy",0.455,0,"High"
1,"Accuracy",0.608,0,"Low"
1,"Accuracy",0.538,0,"High"
1,"Accuracy",0.514,0,"Very Low"
1,"Accuracy",0.952,0,"Very Low"
1,"Accuracy",0.563,0,"Low"
1,"Accuracy",0.778,0,"Very Low"
1,"Accuracy",0.505,0,"High"
1,"Accuracy",0.73,0,"Low"
1,"Accuracy",0.588,1,"Very Low"
1,"Accuracy",0.536,0,"High"
1,"Accuracy",0.627,0,"Low"
1,"Accuracy",0.563,0,"Very Low"
1,"Accuracy",0.94,0,"High"
1,"Accuracy",0.47,0,"Low"
1,"Accuracy",0.504,0,"Very Low"
1,"Accuracy",0.519,0,"High"
1,"Accuracy",0.661,0,"Very Low"
1,"Accuracy",0.73,0,"Very Low"
1,"Accuracy",0.583,0,"High"
1,"Accuracy",0.416,0,"High"
1,"Accuracy",0.774,0,"Low"
1,"Accuracy",0.504,1,"Low"
1,"Accuracy",0.571,0,"High"
1,"Accuracy",0.568,0,"High"
1,"Accuracy",0.989,1,"Very Low"
1,"Accuracy",0.742,0,"Very Low"
1,"Accuracy",0.729,0,"Very Low"
1,"Accuracy",0.539,0,"Low"
1,"Accuracy",1.135,0,"High"
1,"Accuracy",0.519,0,"Low"
1,"Accuracy",0.505,0,"High"
1,"Accuracy",0.46,0,"Very Low"
1,"Accuracy",0.643,0,"High"
1,"Accuracy",0.446,0,"Low"
1,"Accuracy",0.778,0,"Low"
1,"Accuracy",0.646,0,"High"
1,"Accuracy",0.544,0,"High"
1,"Accuracy",0.656,1,"High"
1,"Accuracy",0.977,0,"High"
1,"Accuracy",1.116,0,"High"
1,"Accuracy",0.499,0,"Low"
1,"Accuracy",0.887,0,"Very Low"
1,"Accuracy",0.564,0,"Low"
1,"Accuracy",0.495,0,"High"
1,"Accuracy",0.544,0,"Very Low"
1,"Accuracy",0.949,0,"Low"
1,"Accuracy",0.622,0,"High"
1,"Accuracy",0.73,0,"High"
1,"Accuracy",0.48,0,"Very Low"
1,"Accuracy",0.446,0,"High"
1,"Accuracy",0.666,0,"Very Low"
1,"Accuracy",0.578,0,"Low"
1,"Accuracy",0.67,0,"High"
1,"Accuracy",0.607,0,"High"
1,"Accuracy",0.544,0,"Low"
1,"Accuracy",0.465,1,"High"
1,"Accuracy",0.6,0,"Low"
1,"Accuracy",0.49,0,"Very Low"
1,"Accuracy",0.499,0,"Very Low"
1,"Speed",0.621,0,"High"
1,"Speed",0.407,0,"High"
1,"Speed",0.445,0,"Very Low"
1,"Speed",0.451,0,"High"
1,"Speed",0.416,0,"High"
1,"Speed",0.622,0,"High"
1,"Speed",0.407,0,"Low"
1,"Speed",0.412,0,"High"
1,"Speed",0.411,0,"High"
1,"Speed",0.779,0,"Very Low"
1,"Speed",0.507,0,"High"
1,"Speed",0.71,0,"Low"
1,"Speed",0.592,0,"Low"
1,"Speed",0.495,0,"High"
1,"Speed",0.607,0,"Very Low"
1,"Speed",0.602,0,"High"
1,"Speed",0.553,0,"High"
1,"Speed",0.563,0,"Low"
1,"Speed",0.559,0,"Low"
1,"Speed",0.583,0,"Low"
1,"Speed",0.475,0,"Low"
1,"Speed",0.529,0,"Very Low"
1,"Speed",0.573,0,"Low"
1,"Speed",0.367,0,"High"
1,"Speed",0.431,0,"High"
1,"Speed",0.827,0,"Low"
1,"Speed",0.629,0,"High"
1,"Speed",0.421,0,"Very Low"
1,"Speed",0.475,0,"Very Low"
1,"Speed",0.69,0,"Low"
1,"Speed",0.529,0,"High"
1,"Speed",0.392,1,"Low"
1,"Speed",1.096,0,"High"
1,"Speed",0.664,0,"Very Low"
1,"Speed",0.93,0,"Very Low"
1,"Speed",0.404,0,"High"
1,"Speed",0.558,0,"Low"
1,"Speed",0.563,0,"High"
1,"Speed",0.5,0,"Low"
1,"Speed",0.509,0,"Very Low"
1,"Speed",0.495,0,"High"
1,"Speed",0.69,0,"Low"
1,"Speed",0.485,0,"Very Low"
1,"Speed",0.597,0,"High"
1,"Speed",0.51,0,"Very Low"
1,"Speed",0.451,0,"High"
1,"Speed",0.431,0,"Low"
1,"Speed",0.451,1,"High"
1,"Speed",0.622,0,"Very Low"
1,"Speed",1.679,0,"Very Low"
1,"Speed",0.737,0,"Low"
1,"Speed",0.643,0,"Very Low"
1,"Speed",0.47,0,"Very Low"
1,"Speed",0.681,0,"Very Low"
1,"Speed",0.583,0,"Low"
1,"Speed",0.402,0,"Very Low"
1,"Speed",0.69,0,"Very Low"
1,"Speed",0.598,1,"Very Low"
1,"Speed",0.533,1,"Very Low"
1,"Speed",0.564,0,"Very Low"
1,"Speed",0.451,0,"High"
1,"Speed",0.451,0,"High"
1,"Speed",0.592,0,"Low"
1,"Speed",0.49,1,"Very Low"
1,"Speed",0.503,0,"Low"
1,"Speed",0.485,0,"High"
1,"Speed",0.413,0,"High"
1,"Speed",0.71,0,"Low"
1,"Speed",0.426,0,"Low"
1,"Speed",0.46,0,"Low"
1,"Speed",0.501,0,"Very Low"
1,"Speed",0.554,0,"Low"
1,"Speed",0.388,0,"Low"
1,"Speed",0.603,0,"Low"
1,"Speed",0.455,0,"Low"
1,"Speed",0.404,0,"Low"
1,"Speed",0.392,0,"Low"
1,"Speed",0.446,0,"High"
1,"Speed",0.445,0,"High"
1,"Speed",0.706,1,"Very Low"
1,"Speed",1.215,0,"Very Low"
1,"Speed",0.614,0,"Very Low"
1,"Speed",0.485,1,"Very Low"
1,"Speed",0.666,0,"Very Low"
1,"Speed",0.528,1,"Low"
1,"Speed",0.49,0,"High"
1,"Speed",1.092,0,"Very Low"
1,"Speed",0.409,0,"High"
1,"Speed",0.7,0,"Low"
1,"Speed",0.514,0,"Very Low"
1,"Speed",1.209,0,"Low"
1,"Speed",0.517,0,"High"
1,"Speed",0.49,0,"Low"
1,"Speed",0.783,0,"Very Low"
1,"Speed",0.433,0,"Very Low"
1,"Speed",0.485,0,"High"
1,"Accuracy",0.954,0,"Low"
1,"Accuracy",0.436,0,"High"
1,"Accuracy",0.679,0,"High"
1,"Accuracy",0.524,0,"High"
1,"Accuracy",0.911,0,"Very Low"
1,"Accuracy",0.578,0,"Very Low"
1,"Accuracy",0.489,0,"Very Low"
1,"Accuracy",0.495,0,"High"
1,"Accuracy",0.656,0,"Low"
1,"Accuracy",0.705,0,"High"
1,"Accuracy",0.494,0,"High"
1,"Accuracy",0.451,0,"High"
1,"Accuracy",0.7,0,"Low"
1,"Accuracy",0.945,0,"Very Low"
1,"Accuracy",0.592,0,"Very Low"
1,"Accuracy",0.514,0,"Low"
1,"Accuracy",1.009,0,"Very Low"
1,"Accuracy",1.972,0,"Very Low"
1,"Accuracy",0.558,0,"Very Low"
1,"Accuracy",0.67,0,"Low"
1,"Accuracy",1.058,0,"Very Low"
1,"Accuracy",1.072,1,"Very Low"
1,"Accuracy",0.835,0,"Low"
1,"Accuracy",0.587,0,"High"
1,"Accuracy",0.612,0,"Very Low"
1,"Accuracy",0.441,0,"High"
1,"Accuracy",0.624,0,"High"
1,"Accuracy",0.617,0,"Very Low"
1,"Accuracy",0.456,0,"Low"
1,"Accuracy",0.524,0,"High"
1,"Accuracy",0.842,0,"Low"
1,"Accuracy",0.538,0,"Very Low"
1,"Accuracy",1.347,0,"Low"
1,"Accuracy",0.577,0,"Low"
1,"Accuracy",0.651,1,"Very Low"
1,"Accuracy",0.639,0,"Low"
1,"Accuracy",0.564,0,"Low"
1,"Accuracy",0.892,0,"Very Low"
1,"Accuracy",0.549,1,"Very Low"
1,"Accuracy",0.517,0,"Low"
1,"Accuracy",0.494,0,"Low"
1,"Accuracy",0.524,0,"High"
1,"Accuracy",0.475,0,"High"
1,"Accuracy",1.273,1,"Low"
1,"Accuracy",0.526,0,"Very Low"
1,"Accuracy",0.411,0,"High"
1,"Accuracy",0.582,0,"Low"
1,"Accuracy",0.661,0,"High"
1,"Accuracy",0.642,1,"Low"
1,"Accuracy",1.128,0,"High"
1,"Accuracy",0.612,0,"Low"
1,"Accuracy",0.47,0,"Very Low"
1,"Accuracy",0.549,0,"Low"
1,"Accuracy",0.602,0,"Low"
1,"Accuracy",0.798,0,"High"
1,"Accuracy",0.764,0,"High"
1,"Accuracy",0.489,0,"Very Low"
1,"Accuracy",0.622,0,"Low"
1,"Accuracy",0.744,0,"Low"
1,"Accuracy",0.534,0,"Very Low"
1,"Accuracy",0.529,0,"Very Low"
1,"Accuracy",0.485,0,"High"
1,"Accuracy",0.847,0,"High"
1,"Accuracy",0.593,0,"Low"
1,"Accuracy",0.578,0,"High"
1,"Accuracy",0.519,0,"High"
1,"Accuracy",0.553,0,"Low"
1,"Accuracy",0.485,0,"High"
1,"Accuracy",0.553,0,"Very Low"
1,"Accuracy",0.553,0,"High"
1,"Accuracy",0.617,0,"High"
1,"Accuracy",0.97,0,"Low"
1,"Accuracy",0.535,0,"Low"
1,"Accuracy",0.627,0,"High"
1,"Accuracy",0.489,0,"Very Low"
1,"Accuracy",0.524,0,"Very Low"
1,"Accuracy",0.51,0,"High"
1,"Accuracy",0.577,0,"Very Low"
1,"Accuracy",0.603,0,"Low"
1,"Accuracy",0.509,0,"Low"
1,"Accuracy",0.499,0,"High"
1,"Accuracy",0.559,0,"Very Low"
1,"Accuracy",0.49,0,"High"
1,"Accuracy",0.495,0,"Low"
1,"Accuracy",0.46,0,"High"
1,"Accuracy",0.519,0,"Very Low"
1,"Accuracy",0.544,0,"Low"
1,"Accuracy",0.573,0,"Very Low"
1,"Accuracy",0.534,0,"Very Low"
1,"Accuracy",0.597,0,"Low"
1,"Accuracy",0.661,0,"High"
1,"Accuracy",0.524,0,"High"
1,"Accuracy",0.563,0,"Very Low"
1,"Accuracy",0.485,0,"Very Low"
1,"Accuracy",0.539,0,"Low"
1,"Speed",0.71,0,"Very Low"
1,"Speed",0.392,0,"Low"
1,"Speed",0.436,0,"Very Low"
1,"Speed",0.744,1,"Low"
1,"Speed",0.593,0,"Low"
1,"Speed",0.636,0,"Very Low"
1,"Speed",0.451,0,"High"
1,"Speed",0.44,0,"Low"
1,"Speed",0.436,0,"High"
1,"Speed",0.392,0,"High"
1,"Speed",0.597,0,"Low"
1,"Speed",0.627,1,"Very Low"
1,"Speed",0.412,1,"Very Low"
1,"Speed",0.755,0,"Low"
1,"Speed",0.487,0,"High"
1,"Speed",0.494,0,"High"
1,"Speed",0.47,0,"High"
1,"Speed",0.852,0,"Low"
1,"Speed",0.561,0,"Low"
1,"Speed",0.49,0,"Very Low"
1,"Speed",0.421,0,"High"
1,"Speed",0.431,0,"Very Low"
1,"Speed",0.514,0,"Very Low"
1,"Speed",0.606,0,"Low"
1,"Speed",0.416,0,"Low"
1,"Speed",0.451,0,"High"
1,"Speed",0.495,0,"Very Low"
1,"Speed",0.548,0,"High"
1,"Speed",0.455,1,"Low"
1,"Speed",0.417,1,"Very Low"
1,"Speed",0.524,0,"Low"
1,"Speed",0.534,0,"Low"
1,"Speed",0.529,0,"Very Low"
1,"Speed",0.495,0,"Very Low"
1,"Speed",0.569,0,"Very Low"
1,"Speed",0.789,0,"High"
1,"Speed",1.153,0,"Low"
1,"Speed",0.507,0,"Low"
1,"Speed",0.46,0,"High"
1,"Speed",0.411,0,"High"
1,"Speed",0.446,0,"Very Low"
1,"Speed",0.485,0,"High"
1,"Speed",0.553,0,"Low"
1,"Speed",0.47,0,"Low"
1,"Speed",0.524,0,"Very Low"
1,"Speed",0.607,0,"Very Low"
1,"Speed",0.431,0,"Very Low"
1,"Speed",0.822,0,"Low"
1,"Speed",0.453,1,"Very Low"
1,"Speed",0.685,0,"Very Low"
1,"Speed",0.842,1,"Very Low"
1,"Speed",0.488,0,"High"
1,"Speed",0.559,0,"Low"
1,"Speed",0.514,0,"Low"
1,"Speed",0.441,0,"Low"
1,"Speed",0.456,0,"High"
1,"Speed",0.421,0,"High"
1,"Speed",0.735,0,"Very Low"
1,"Speed",1.484,0,"High"
1,"Speed",0.58,0,"Very Low"
1,"Speed",0.734,0,"High"
1,"Speed",0.696,1,"Low"
1,"Speed",0.538,1,"Very Low"
1,"Speed",0.48,0,"High"
1,"Speed",0.431,1,"Very Low"
1,"Speed",0.456,0,"High"
1,"Speed",0.642,0,"Low"
1,"Speed",0.65,0,"Low"
1,"Speed",0.534,0,"Low"
1,"Speed",0.989,1,"Very Low"
1,"Speed",0.507,0,"High"
1,"Speed",0.432,0,"Low"
1,"Speed",0.613,0,"High"
1,"Speed",0.52,0,"Low"
1,"Speed",0.489,0,"High"
1,"Speed",0.47,0,"High"
1,"Speed",0.823,1,"Very Low"
1,"Speed",0.712,0,"Low"
1,"Speed",0.73,0,"Very Low"
1,"Speed",0.47,0,"Very Low"
1,"Speed",0.494,0,"Very Low"
1,"Speed",0.769,0,"High"
1,"Speed",0.629,0,"Very Low"
1,"Speed",0.48,1,"Very Low"
1,"Speed",0.504,0,"High"
1,"Speed",0.994,0,"High"
1,"Speed",0.473,0,"Very Low"
1,"Speed",0.582,1,"Low"
1,"Speed",1.391,0,"Low"
1,"Speed",0.546,0,"High"
1,"Speed",0.484,0,"High"
1,"Speed",0.539,0,"High"
1,"Speed",0.558,0,"High"
1,"Speed",0.436,0,"Low"
1,"Speed",0.495,0,"Low"
1,"Speed",0.479,0,"High"
1,"Accuracy",0.768,0,"High"
1,"Accuracy",0.544,0,"Very Low"
1,"Accuracy",0.573,0,"Low"
1,"Accuracy",0.582,0,"Low"
1,"Accuracy",0.539,0,"Very Low"
1,"Accuracy",0.504,1,"Very Low"
1,"Accuracy",0.586,0,"Low"
1,"Accuracy",0.651,0,"Low"
1,"Accuracy",0.548,0,"High"
1,"Accuracy",0.598,0,"High"
1,"Accuracy",0.475,0,"Low"
1,"Accuracy",0.818,0,"Low"
1,"Accuracy",0.627,0,"Low"
1,"Accuracy",0.622,0,"High"
1,"Accuracy",0.573,0,"High"
1,"Accuracy",0.534,0,"High"
1,"Accuracy",0.583,0,"High"
1,"Accuracy",0.715,0,"Low"
1,"Accuracy",0.696,0,"Low"
1,"Accuracy",0.695,0,"Low"
1,"Accuracy",0.607,0,"High"
1,"Accuracy",0.5,0,"High"
1,"Accuracy",0.533,0,"Low"
1,"Accuracy",0.441,0,"Low"
1,"Accuracy",0.72,0,"High"
1,"Accuracy",0.808,0,"Low"
1,"Accuracy",0.548,0,"Very Low"
1,"Accuracy",0.5,0,"High"
1,"Accuracy",0.838,0,"Very Low"
1,"Accuracy",0.822,0,"Very Low"
1,"Accuracy",0.47,0,"Low"
1,"Accuracy",0.431,0,"Very Low"
1,"Accuracy",0.49,0,"Very Low"
1,"Accuracy",0.597,0,"Very Low"
1,"Accuracy",0.504,0,"Very Low"
1,"Accuracy",0.475,0,"High"
1,"Accuracy",0.607,0,"Very Low"
1,"Accuracy",0.471,0,"High"
1,"Accuracy",0.52,0,"High"
1,"Accuracy",0.754,0,"Low"
1,"Accuracy",0.461,0,"High"
1,"Accuracy",0.411,0,"High"
1,"Accuracy",0.49,0,"High"
1,"Accuracy",0.69,0,"Low"
1,"Accuracy",0.602,0,"Low"
1,"Accuracy",0.471,0,"High"
1,"Accuracy",0.681,0,"High"
1,"Accuracy",0.407,0,"High"
1,"Accuracy",0.578,0,"Low"
1,"Accuracy",0.705,0,"Low"
1,"Accuracy",0.563,0,"Low"
1,"Accuracy",0.568,0,"Low"
1,"Accuracy",0.519,0,"High"
1,"Accuracy",0.465,0,"High"
1,"Accuracy",0.441,0,"High"
